Indicator,Geography,Year,Strata,Strata Name,Numerator,Denominator,Rate,Age Adjusted Rate
Suicide,Alameda,2000-2002,Sex,Female,81,2233000,3.628,3.596
Suicide,Alameda,2000-2002,Sex,Male,270,2150000,12.56,13.92
Suicide,Alameda,2000-2002,Sex,Total,351,4383000,8.009,8.269
Suicide,Alameda,2003-2005,Sex,Female,94,2238000,4.2,4.069
Suicide,Alameda,2003-2005,Sex,Male,255,2155000,11.84,12.7
Suicide,Alameda,2003-2005,Sex,Total,349,4393000,7.945,7.964
Suicide,Alameda,2006-2008,Sex,Female,92,2259000,4.073,3.889
Suicide,Alameda,2006-2008,Sex,Male,263,2174000,12.1,12.4
Suicide,Alameda,2006-2008,Sex,Total,355,4433000,8.008,7.856
Suicide,Alameda,2009-2011,Sex,Female,100,2318000,4.313,4.12
Suicide,Alameda,2009-2011,Sex,Male,318,2233000,14.24,14.33
Suicide,Alameda,2009-2011,Sex,Total,418,4551000,9.185,8.902
Suicide,Alameda,2012-2014,Sex,Female,110,2408000,4.568,4.334
Suicide,Alameda,2012-2014,Sex,Male,329,2322000,14.17,14.02
Suicide,Alameda,2012-2014,Sex,Total,439,4730000,9.281,8.835
Suicide,Alameda,2015-2017,Sex,Female,116,2499000,4.641,4.277
Suicide,Alameda,2015-2017,Sex,Male,326,2414000,13.51,13.17
Suicide,Alameda,2015-2017,Sex,Total,442,4913000,8.996,8.496
Suicide,Amador,2000-2002,Sex,Total,17,107500,15.81,15.54
Suicide,Amador,2003-2005,Sex,Total,23,111600,20.6,19.1
Suicide,Amador,2006-2008,Sex,Total,26,113900,22.83,18.33
Suicide,Amador,2009-2011,Sex,Total,34,113900,29.86,24.98
Suicide,Amador,2012-2014,Sex,Total,38,112800,33.7,27.63
Suicide,Amador,2015-2017,Sex,Total,25,111800,22.37,20.52
Suicide,Butte,2000-2002,Sex,Female,23,314200,7.32,7.692
Suicide,Butte,2000-2002,Sex,Male,79,303100,26.06,25.89
Suicide,Butte,2000-2002,Sex,Total,102,617300,16.52,16.26
Suicide,Butte,2003-2005,Sex,Female,26,323200,8.046,8.471
Suicide,Butte,2003-2005,Sex,Male,83,313400,26.49,26.53
Suicide,Butte,2003-2005,Sex,Total,109,636500,17.12,16.86
Suicide,Butte,2006-2008,Sex,Female,18,330000,5.454,5.89
Suicide,Butte,2006-2008,Sex,Male,99,321200,30.82,31.02
Suicide,Butte,2006-2008,Sex,Total,117,651300,17.96,18.04
Suicide,Butte,2009-2011,Sex,Female,26,333200,7.802,8.365
Suicide,Butte,2009-2011,Sex,Male,108,326800,33.05,31.4
Suicide,Butte,2009-2011,Sex,Total,134,660000,20.3,19.37
Suicide,Butte,2012-2014,Sex,Female,24,336300,7.136,7.39
Suicide,Butte,2012-2014,Sex,Male,83,331600,25.03,24.4
Suicide,Butte,2012-2014,Sex,Total,107,667900,16.02,15.62
Suicide,Butte,2015-2017,Sex,Female,24,339900,7.062,6.719
Suicide,Butte,2015-2017,Sex,Male,104,336100,30.94,30.71
Suicide,Butte,2015-2017,Sex,Total,128,676000,18.94,18.31
Suicide,Calaveras,2000-2002,Sex,Total,19,124200,15.3,13.72
Suicide,Calaveras,2003-2005,Sex,Total,30,131900,22.75,21.84
Suicide,Calaveras,2006-2008,Sex,Total,24,136700,17.56,15.28
Suicide,Calaveras,2009-2011,Sex,Female,11,68220,16.13,16.5
Suicide,Calaveras,2009-2011,Sex,Male,26,68300,38.07,30.13
Suicide,Calaveras,2009-2011,Sex,Total,37,136500,27.1,23.1
Suicide,Calaveras,2012-2014,Sex,Total,31,135400,22.89,19.99
Suicide,Calaveras,2015-2017,Sex,Total,40,134500,29.74,25.87
Suicide,Colusa,2012-2014,Sex,Total,16,65890,24.28,26.57
Suicide,Contra Costa,2000-2002,Sex,Female,52,1488000,3.495,3.331
Suicide,Contra Costa,2000-2002,Sex,Male,203,1415000,14.35,15.47
Suicide,Contra Costa,2000-2002,Sex,Total,255,2903000,8.784,8.875
Suicide,Contra Costa,2003-2005,Sex,Female,73,1532000,4.764,4.622
Suicide,Contra Costa,2003-2005,Sex,Male,216,1460000,14.8,15.44
Suicide,Contra Costa,2003-2005,Sex,Total,289,2992000,9.659,9.654
Suicide,Contra Costa,2006-2008,Sex,Female,79,1569000,5.036,4.735
Suicide,Contra Costa,2006-2008,Sex,Male,216,1496000,14.44,14.9
Suicide,Contra Costa,2006-2008,Sex,Total,295,3065000,9.626,9.437
Suicide,Contra Costa,2009-2011,Sex,Female,99,1617000,6.121,5.767
