"Suicide rates per 100,000 adolescents ages 15–17 by sex and race/ethnicity, 1999–2013",,,,,,,,,,,,,,,
Characteristic,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Total,6.3,6.5,6.1,5.7,5.4,5.9,5.7,5.4,4.9,5.8,6.1,5.7,6.6,6.8,6.8
Sex,,,,,,,,,,,,,,,
Male,9.9,10.0,9.4,8.8,8.1,8.6,8.5,8.1,7.6,8.4,8.9,8.4,9.6,9.6,9.8
Female,2.5,2.8,2.6,2.5,2.4,3.0,2.8,2.7,2.1,3.1,3.1,2.8,3.4,4.0,3.7
Race/ethnicity,,,,,,,,,,,,,,,
"White, non-Hispanic",7.2,7.6,7.2,6.9,6.4,6.8,6.7,6.5,5.9,6.7,7.3,6.7,8.3,8.6,8.5
"Black, non-Hispanic",4.0,4.1,2.8,2.5,2.6,3.1,3.3,2.3,2.2,3.9,3.1,3.1,3.8,3.5,4.2
Hispanic,4.6,4.0,4.3,4.1,3.7,4.4,4.4,4.2,3.6,4.1,4.5,4.2,4.0,4.5,4.0
Asian/Pacific Islander,‡,3.9,4.2,‡,‡,3.7,‡,4.1,3.2,3.7,4.1,3.4,3.5,3.5,3.9
American Indian/Alaska Native,16.2,13.8,13.7,‡,12.7,13.7,14.0,14.0,10.5,13.0,13.4,15.9,12.8,10.8,14.4
Males,,,,,,,,,,,,,,,
"White, non-Hispanic",11.3,11.9,11.5,10.8,9.7,9.9,10.2,9.7,9.2,10.1,10.9,10.1,12.3,12.4,12.5
"Black, non-Hispanic",6.9,6.8,4.3,4.1,4.4,5.0,4.9,3.7,3.6,5.5,4.1,4.8,5.4,4.6,6.4
Hispanic,6.9,5.3,5.6,6.0,5.5,6.2,6.2,5.5,5.3,5.7,6.3,6.2,5.7,6.1,4.9
Asian/Pacific Islander,‡,‡,‡,‡,‡,‡,‡,‡,‡,‡,‡,‡,‡,‡,‡
American Indian/Alaska Native,‡,‡,‡,‡,‡,19.1,‡,20.3,‡,‡,19.5,17.7,17.3,‡,20.4
Females,,,,,,,,,,,,,,,
"White, non-Hispanic",2.8,3.0,2.8,2.8,2.8,3.6,3.0,3.1,2.5,3.2,3.5,3.2,4.0,4.7,4.3
"Black, non-Hispanic",‡,‡,‡,‡,‡,‡,‡,‡,‡,2.3,2.0,‡,2.2,2.4,‡
Hispanic,‡,2.6,2.9,‡,‡,2.5,2.4,2.8,1.8,2.5,2.6,2.1,2.3,2.8,3.1
Asian/Pacific Islander,‡,‡,‡,‡,‡,‡,‡,‡,‡,‡,‡,‡,‡,‡,‡
American Indian/Alaska Native,‡,‡,‡,‡,‡,‡,‡,‡,‡,‡,‡,‡,‡,‡,‡
