" Standard errors for suicide rates per 100,000 adolescents ages 15–17 by sex and race/ethnicity, 1999–2013",,,,,,,,,,,,,,,
Characteristic,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Total,0.23,0.23,0.22,0.22,0.21,0.22,0.21,0.20,0.19,0.21,0.22,0.21,0.23,0.23,0.23
Sex,,,,,,,,,,,,,,,
Male,0.40,0.40,0.39,0.37,0.36,0.36,0.36,0.34,0.33,0.35,0.36,0.35,0.38,0.38,0.39
Female,0.21,0.22,0.21,0.20,0.20,0.22,0.21,0.20,0.18,0.22,0.22,0.21,0.24,0.25,0.25
Race/ethnicity,,,,,,,,,,,,,,,
"White, non-Hispanic",0.30,0.31,0.30,0.30,0.28,0.29,0.29,0.28,0.27,0.29,0.31,0.30,0.34,0.35,0.35
"Black, non-Hispanic",0.48,0.48,0.39,0.37,0.37,0.40,0.40,0.33,0.32,0.43,0.38,0.39,0.44,0.43,0.47
Hispanic,0.51,0.47,0.47,0.45,0.43,0.46,0.44,0.42,0.38,0.40,0.41,0.39,0.39,0.41,0.38
Asian/Pacific Islander,†,0.87,0.89,†,†,0.80,†,0.81,0.71,0.76,0.79,0.71,0.72,0.71,0.74
American Indian/Alaska Native,3.11,2.82,2.74,†,2.54,2.59,2.55,2.51,2.15,2.38,2.40,2.62,2.38,2.20,2.55
Males,,,,,,,,,,,,,,,
"White, non-Hispanic",0.53,0.54,0.53,0.52,0.49,0.49,0.50,0.49,0.48,0.50,0.53,0.51,0.57,0.58,0.59
"Black, non-Hispanic",0.88,0.87,0.68,0.66,0.67,0.71,0.68,0.59,0.57,0.71,0.62,0.68,0.73,0.69,0.82
Hispanic,0.86,0.74,0.75,0.76,0.72,0.75,0.73,0.66,0.64,0.65,0.68,0.67,0.64,0.66,0.59
Asian/Pacific Islander,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
American Indian/Alaska Native,†,†,†,†,†,4.27,†,4.24,†,†,4.06,3.87,3.88,†,4.25
Females,,,,,,,,,,,,,,,
"White, non-Hispanic",0.27,0.28,0.27,0.27,0.27,0.31,0.28,0.28,0.25,0.29,0.31,0.30,0.34,0.37,0.35
"Black, non-Hispanic",†,†,†,†,†,†,†,†,†,0.47,0.45,†,0.47,0.51,†
Hispanic,†,0.55,0.56,†,†,0.50,0.47,0.49,0.39,0.44,0.45,0.40,0.41,0.46,0.48
Asian/Pacific Islander,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
American Indian/Alaska Native,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
