"State","County","Deaths","Population","CrudeRate","PercentOfTotalDeaths"
"Entity[""AdministrativeDivision"", {""Alabama"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Autauga"", ""Alabama"", ""UnitedStates""}]","TemporalData[TimeSeries, {{{Quantity[11, ""People""], Quantity[12, ""People""], Quantity[12, ""People""], Quantity[12, ""People""], Quantity[11, ""People""]}}, {{{3187296000, 3471292800, 3502828800, 3534364800, 3565987200}}}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Quantity[44889, ""People""], Quantity[54571, ""People""], Quantity[55267, ""People""], Quantity[55514, ""People""], Quantity[55246, ""People""]}}, {{{3187296000, 3471292800, 3502828800, 3534364800, 3565987200}}}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""]}}, {{{3187296000, 3471292800, 3502828800, 3534364800, 3565987200}}}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Quantity[0.00212, ""Percent""], Quantity[0.00232, ""Percent""], Quantity[0.00232, ""Percent""], Quantity[0.00232, ""Percent""], Quantity[0.00212, ""Percent""]}}, {{{3187296000, 3471292800, 3502828800, 3534364800, 3565987200}}}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]"
"Entity[""AdministrativeDivision"", {""Alabama"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Baldwin"", ""Alabama"", ""UnitedStates""}]","TemporalData[TimeSeries, {{{Quantity[24, ""People""], Quantity[24, ""People""], Quantity[20, ""People""], Quantity[21, ""People""], Quantity[24, ""People""], Quantity[18, ""People""], Quantity[14, ""People""], Quantity[34, ""People""], Quantity[27, ""People""], Quantity[29, ""People""], Quantity[38, ""People""], Quantity[31, ""People""], Quantity[34, ""People""], Quantity[45, ""People""], Quantity[37, ""People""]}}, {TemporalData`DateSpecification[{1999, 1, 1, 0, 0, 0.}, {2013, 1, 1, 0, 0, 0.}, {1, ""Year""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Quantity[137555, ""People""], Quantity[140415, ""People""], Quantity[144875, ""People""], Quantity[147957, ""People""], Quantity[151509, ""People""], Quantity[156266, ""People""], Quantity[162183, ""People""], Quantity[168121, ""People""], Quantity[172404, ""People""], Quantity[175827, ""People""], Quantity[179406, ""People""], Quantity[182265, ""People""], Quantity[186717, ""People""], Quantity[190790, ""People""], Quantity[195540, ""People""]}}, {TemporalData`DateSpecification[{1999, 1, 1, 0, 0, 0.}, {2013, 1, 1, 0, 0, 0.}, {1, ""Year""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""]}}, {TemporalData`DateSpecification[{1999, 1, 1, 0, 0, 0.}, {2013, 1, 1, 0, 0, 0.}, {1, ""Year""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Quantity[0.00463, ""Percent""], Quantity[0.00463, ""Percent""], Quantity[0.00386, ""Percent""], Quantity[0.00406, ""Percent""], Quantity[0.00463, ""Percent""], Quantity[0.00348, ""Percent""], Quantity[0.0027, ""Percent""], Quantity[0.00657, ""Percent""], Quantity[0.00521, ""Percent""], Quantity[0.0056, ""Percent""], Quantity[0.00734, ""Percent""], Quantity[0.00599, ""Percent""], Quantity[0.00657, ""Percent""], Quantity[0.00869, ""Percent""], Quantity[0.00714, ""Percent""]}}, {TemporalData`DateSpecification[{1999, 1, 1, 0, 0, 0.}, {2013, 1, 1, 0, 0, 0.}, {1, ""Year""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]"
"Entity[""AdministrativeDivision"", {""Alabama"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Blount"", ""Alabama"", ""UnitedStates""}]","TemporalData[TimeSeries, {{{Quantity[13, ""People""], Quantity[10, ""People""], Quantity[11, ""People""], Quantity[15, ""People""]}}, {{{3376598400, 3439756800, 3471292800, 3534364800}}}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Quantity[56240, ""People""], Quantity[57341, ""People""], Quantity[57322, ""People""], Quantity[57826, ""People""]}}, {{{3376598400, 3439756800, 3471292800, 3534364800}}}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""]}}, {{{3376598400, 3439756800, 3471292800, 3534364800}}}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Quantity[0.00251, ""Percent""], Quantity[0.00193, ""Percent""], Quantity[0.00212, ""Percent""], Quantity[0.0029, ""Percent""]}}, {{{3376598400, 3439756800, 3471292800, 3534364800}}}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]"
"Entity[""AdministrativeDivision"", {""Alabama"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Calhoun"", ""Alabama"", ""UnitedStates""}]","TemporalData[TimeSeries, {{{Quantity[19, ""People""], Quantity[13, ""People""], Quantity[18, ""People""], Quantity[14, ""People""], Quantity[16, ""People""], Quantity[20, ""People""], Quantity[14, ""People""], Quantity[21, ""People""], Quantity[17, ""People""], Quantity[14, ""People""], Quantity[22, ""People""], Quantity[13, ""People""], Quantity[17, ""People""], Quantity[24, ""People""], Quantity[19, ""People""]}}, {TemporalData`DateSpecification[{1999, 1, 1, 0, 0, 0.}, {2013, 1, 1, 0, 0, 0.}, {1, ""Year""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Quantity[114910, ""People""], Quantity[112249, ""People""], Quantity[111266, ""People""], Quantity[111625, ""People""], Quantity[112705, ""People""], Quantity[113462, ""People""], Quantity[114477, ""People""], Quantity[115388, ""People""], Quantity[116211, ""People""], Quantity[117274, ""People""], Quantity[118363, ""People""], Quantity[118572, ""People""], Quantity[117797, ""People""], Quantity[117296, ""People""], Quantity[116736, ""People""]}}, {TemporalData`DateSpecification[{1999, 1, 1, 0, 0, 0.}, {2013, 1, 1, 0, 0, 0.}, {1, ""Year""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""]}}, {TemporalData`DateSpecification[{1999, 1, 1, 0, 0, 0.}, {2013, 1, 1, 0, 0, 0.}, {1, ""Year""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Quantity[0.00367, ""Percent""], Quantity[0.00251, ""Percent""], Quantity[0.00348, ""Percent""], Quantity[0.0027, ""Percent""], Quantity[0.00309, ""Percent""], Quantity[0.00386, ""Percent""], Quantity[0.0027, ""Percent""], Quantity[0.00406, ""Percent""], Quantity[0.00328, ""Percent""], Quantity[0.0027, ""Percent""], Quantity[0.00425, ""Percent""], Quantity[0.00251, ""Percent""], Quantity[0.00328, ""Percent""], Quantity[0.00463, ""Percent""], Quantity[0.00367, ""Percent""]}}, {TemporalData`DateSpecification[{1999, 1, 1, 0, 0, 0.}, {2013, 1, 1, 0, 0, 0.}, {1, ""Year""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]"
"Entity[""AdministrativeDivision"", {""Alabama"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Cherokee"", ""Alabama"", ""UnitedStates""}]","TemporalData[TimeSeries, {{{Quantity[10, ""People""]}}, {TemporalData`DateSpecification[{2011, 1, 1, 0, 0, 0.}, {2011, 1, 1, 0, 0, 0}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}, ValueDimensions -> 1, DateFunction -> Automatic}}, True, 10.3]","TemporalData[TimeSeries, {{{Quantity[26057, ""People""]}}, {TemporalData`DateSpecification[{2011, 1, 1, 0, 0, 0.}, {2011, 1, 1, 0, 0, 0}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}, ValueDimensions -> 1, DateFunction -> Automatic}}, True, 10.3]","TemporalData[TimeSeries, {{{Missing[""NotAvailable""]}}, {TemporalData`DateSpecification[{2011, 1, 1, 0, 0, 0.}, {2011, 1, 1, 0, 0, 0}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}, ValueDimensions -> 1, DateFunction -> Automatic}}, True, 10.3]","TemporalData[TimeSeries, {{{Quantity[0.00193, ""Percent""]}}, {TemporalData`DateSpecification[{2011, 1, 1, 0, 0, 0.}, {2011, 1, 1, 0, 0, 0}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}, ValueDimensions -> 1, DateFunction -> Automatic}}, True, 10.3]"
"Entity[""AdministrativeDivision"", {""Alabama"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Chilton"", ""Alabama"", ""UnitedStates""}]","TemporalData[TimeSeries, {{{Quantity[12, ""People""]}}, {TemporalData`DateSpecification[{2009, 1, 1, 0, 0, 0.}, {2009, 1, 1, 0, 0, 0}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}, ValueDimensions -> 1, DateFunction -> Automatic}}, True, 10.3]","TemporalData[TimeSeries, {{{Quantity[43484, ""People""]}}, {TemporalData`DateSpecification[{2009, 1, 1, 0, 0, 0.}, {2009, 1, 1, 0, 0, 0}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}, ValueDimensions -> 1, DateFunction -> Automatic}}, True, 10.3]","TemporalData[TimeSeries, {{{Missing[""NotAvailable""]}}, {TemporalData`DateSpecification[{2009, 1, 1, 0, 0, 0.}, {2009, 1, 1, 0, 0, 0}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}, ValueDimensions -> 1, DateFunction -> Automatic}}, True, 10.3]","TemporalData[TimeSeries, {{{Quantity[0.00232, ""Percent""]}}, {TemporalData`DateSpecification[{2009, 1, 1, 0, 0, 0.}, {2009, 1, 1, 0, 0, 0}, {1, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}, ValueDimensions -> 1, DateFunction -> Automatic}}, True, 10.3]"
"Entity[""AdministrativeDivision"", {""Alabama"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Coffee"", ""Alabama"", ""UnitedStates""}]","TemporalData[TimeSeries, {{{Quantity[14, ""People""], Quantity[11, ""People""]}}, {TemporalData`DateSpecification[{2010, 1, 1, 0, 0, 0.}, {2012, 1, 1, 0, 0, 0.}, {730, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Quantity[49948, ""People""], Quantity[51252, ""People""]}}, {TemporalData`DateSpecification[{2010, 1, 1, 0, 0, 0.}, {2012, 1, 1, 0, 0, 0.}, {730, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Missing[""NotAvailable""], Missing[""NotAvailable""]}}, {TemporalData`DateSpecification[{2010, 1, 1, 0, 0, 0.}, {2012, 1, 1, 0, 0, 0.}, {730, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Quantity[0.0027, ""Percent""], Quantity[0.00212, ""Percent""]}}, {TemporalData`DateSpecification[{2010, 1, 1, 0, 0, 0.}, {2012, 1, 1, 0, 0, 0.}, {730, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]"
"Entity[""AdministrativeDivision"", {""Alabama"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Colbert"", ""Alabama"", ""UnitedStates""}]","TemporalData[TimeSeries, {{{Quantity[13, ""People""], Quantity[10, ""People""], Quantity[10, ""People""], Quantity[10, ""People""], Quantity[12, ""People""], Quantity[10, ""People""]}}, {{{3124137600, 3155673600, 3250368000, 3281904000, 3376598400, 3471292800}}}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Quantity[54715, ""People""], Quantity[54984, ""People""], Quantity[54279, ""People""], Quantity[54380, ""People""], Quantity[54486, ""People""], Quantity[54428, ""People""]}}, {{{3124137600, 3155673600, 3250368000, 3281904000, 3376598400, 3471292800}}}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""]}}, {{{3124137600, 3155673600, 3250368000, 3281904000, 3376598400, 3471292800}}}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Quantity[0.00251, ""Percent""], Quantity[0.00193, ""Percent""], Quantity[0.00193, ""Percent""], Quantity[0.00193, ""Percent""], Quantity[0.00232, ""Percent""], Quantity[0.00193, ""Percent""]}}, {{{3124137600, 3155673600, 3250368000, 3281904000, 3376598400, 3471292800}}}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]"
"Entity[""AdministrativeDivision"", {""Alabama"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Cullman"", ""Alabama"", ""UnitedStates""}]","TemporalData[TimeSeries, {{{Quantity[12, ""People""], Quantity[10, ""People""], Quantity[15, ""People""], Quantity[11, ""People""], Quantity[10, ""People""], Quantity[15, ""People""], Quantity[15, ""People""], Quantity[10, ""People""], Quantity[14, ""People""], Quantity[12, ""People""]}}, {{{3155673600, 3218832000, 3313526400, 3345062400, 3376598400, 3408134400, 3439756800, 3471292800, 3502828800, 3565987200}}}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Quantity[77483, ""People""], Quantity[77443, ""People""], Quantity[78692, ""People""], Quantity[79044, ""People""], Quantity[79576, ""People""], Quantity[80273, ""People""], Quantity[80351, ""People""], Quantity[80406, ""People""], Quantity[80536, ""People""], Quantity[80811, ""People""]}}, {{{3155673600, 3218832000, 3313526400, 3345062400, 3376598400, 3408134400, 3439756800, 3471292800, 3502828800, 3565987200}}}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""], Missing[""NotAvailable""]}}, {{{3155673600, 3218832000, 3313526400, 3345062400, 3376598400, 3408134400, 3439756800, 3471292800, 3502828800, 3565987200}}}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Quantity[0.00232, ""Percent""], Quantity[0.00193, ""Percent""], Quantity[0.0029, ""Percent""], Quantity[0.00212, ""Percent""], Quantity[0.00193, ""Percent""], Quantity[0.0029, ""Percent""], Quantity[0.0029, ""Percent""], Quantity[0.00193, ""Percent""], Quantity[0.0027, ""Percent""], Quantity[0.00232, ""Percent""]}}, {{{3155673600, 3218832000, 3313526400, 3345062400, 3376598400, 3408134400, 3439756800, 3471292800, 3502828800, 3565987200}}}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]"
"Entity[""AdministrativeDivision"", {""Alabama"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Dale"", ""Alabama"", ""UnitedStates""}]","TemporalData[TimeSeries, {{{Quantity[13, ""People""], Quantity[10, ""People""]}}, {TemporalData`DateSpecification[{2009, 1, 1, 0, 0, 0.}, {2010, 1, 1, 0, 0, 0.}, {365, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Quantity[49854, ""People""], Quantity[50251, ""People""]}}, {TemporalData`DateSpecification[{2009, 1, 1, 0, 0, 0.}, {2010, 1, 1, 0, 0, 0.}, {365, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Missing[""NotAvailable""], Missing[""NotAvailable""]}}, {TemporalData`DateSpecification[{2009, 1, 1, 0, 0, 0.}, {2010, 1, 1, 0, 0, 0.}, {365, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]","TemporalData[TimeSeries, {{{Quantity[0.00251, ""Percent""], Quantity[0.00193, ""Percent""]}}, {TemporalData`DateSpecification[{2009, 1, 1, 0, 0, 0.}, {2010, 1, 1, 0, 0, 0.}, {365, ""Day""}]}, 1, {""Continuous"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 1}}}, True, 10.3]"
