"Town","FIPS","Year","Measure Type","Variable","Value"
"Andover","0901301080","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Andover","0901301080","2006-2010","Crude Rate (per 100,000)","Deaths",6.16
"Andover","0901301080","2006-2010","Number","Deaths",1
"Andover","0901301080","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Andover","0901301080","2007-2011","Crude Rate (per 100,000)","Deaths",19.09
"Andover","0901301080","2007-2011","Number","Deaths",3
"Andover","0901301080","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Andover","0901301080","2008-2012","Crude Rate (per 100,000)","Deaths",24.22
"Andover","0901301080","2008-2012","Number","Deaths",4
"Andover","0901301080","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Andover","0901301080","2010-2014","Crude Rate (per 100,000)","Deaths",30.45
"Andover","0901301080","2010-2014","Number","Deaths",5
"Ansonia","0900901220","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Ansonia","0900901220","2006-2010","Crude Rate (per 100,000)","Deaths",9.39
"Ansonia","0900901220","2006-2010","Number","Deaths",9
"Ansonia","0900901220","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Ansonia","0900901220","2007-2011","Crude Rate (per 100,000)","Deaths",11.46
"Ansonia","0900901220","2007-2011","Number","Deaths",11
"Ansonia","0900901220","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Ansonia","0900901220","2008-2012","Crude Rate (per 100,000)","Deaths",10.39
"Ansonia","0900901220","2008-2012","Number","Deaths",10
"Ansonia","0900901220","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Ansonia","0900901220","2010-2014","Crude Rate (per 100,000)","Deaths",7.32
"Ansonia","0900901220","2010-2014","Number","Deaths",7
"Ashford","0901501430","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Ashford","0901501430","2006-2010","Crude Rate (per 100,000)","Deaths",32.41
"Ashford","0901501430","2006-2010","Number","Deaths",7
"Ashford","0901501430","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Ashford","0901501430","2007-2011","Crude Rate (per 100,000)","Deaths",18.57
"Ashford","0901501430","2007-2011","Number","Deaths",4
"Ashford","0901501430","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Ashford","0901501430","2008-2012","Crude Rate (per 100,000)","Deaths",18.53
"Ashford","0901501430","2008-2012","Number","Deaths",4
"Ashford","0901501430","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Ashford","0901501430","2010-2014","Crude Rate (per 100,000)","Deaths",27.97
"Ashford","0901501430","2010-2014","Number","Deaths",6
"Avon","0900302060","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Avon","0900302060","2006-2010","Crude Rate (per 100,000)","Deaths",10.18
"Avon","0900302060","2006-2010","Number","Deaths",9
"Avon","0900302060","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Avon","0900302060","2007-2011","Crude Rate (per 100,000)","Deaths",7.84
"Avon","0900302060","2007-2011","Number","Deaths",7
"Avon","0900302060","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Avon","0900302060","2008-2012","Crude Rate (per 100,000)","Deaths",9.94
"Avon","0900302060","2008-2012","Number","Deaths",9
"Avon","0900302060","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Avon","0900302060","2010-2014","Crude Rate (per 100,000)","Deaths",5.48
"Avon","0900302060","2010-2014","Number","Deaths",5
"Barkhamsted","0900502760","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Barkhamsted","0900502760","2006-2010","Crude Rate (per 100,000)","Deaths",21.16
"Barkhamsted","0900502760","2006-2010","Number","Deaths",4
"Barkhamsted","0900502760","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Barkhamsted","0900502760","2007-2011","Crude Rate (per 100,000)","Deaths",10.57
"Barkhamsted","0900502760","2007-2011","Number","Deaths",2
"Barkhamsted","0900502760","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Barkhamsted","0900502760","2008-2012","Crude Rate (per 100,000)","Deaths",10.54
"Barkhamsted","0900502760","2008-2012","Number","Deaths",2
"Barkhamsted","0900502760","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Barkhamsted","0900502760","2010-2014","Crude Rate (per 100,000)","Deaths",5.33
"Barkhamsted","0900502760","2010-2014","Number","Deaths",1
"Beacon Falls","0900903250","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Beacon Falls","0900903250","2006-2010","Crude Rate (per 100,000)","Deaths",16.92
"Beacon Falls","0900903250","2006-2010","Number","Deaths",5
"Beacon Falls","0900903250","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Beacon Falls","0900903250","2007-2011","Crude Rate (per 100,000)","Deaths",16.75
"Beacon Falls","0900903250","2007-2011","Number","Deaths",5
"Beacon Falls","0900903250","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Beacon Falls","0900903250","2008-2012","Crude Rate (per 100,000)","Deaths",16.53
"Beacon Falls","0900903250","2008-2012","Number","Deaths",5
"Beacon Falls","0900903250","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Beacon Falls","0900903250","2010-2014","Crude Rate (per 100,000)","Deaths",16.52
"Beacon Falls","0900903250","2010-2014","Number","Deaths",5
"Berlin","0900304300","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Berlin","0900304300","2006-2010","Crude Rate (per 100,000)","Deaths",14.29
"Berlin","0900304300","2006-2010","Number","Deaths",14
"Berlin","0900304300","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Berlin","0900304300","2007-2011","Crude Rate (per 100,000)","Deaths",11.17
"Berlin","0900304300","2007-2011","Number","Deaths",11
"Berlin","0900304300","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Berlin","0900304300","2008-2012","Crude Rate (per 100,000)","Deaths",10.07
"Berlin","0900304300","2008-2012","Number","Deaths",10
"Berlin","0900304300","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Berlin","0900304300","2010-2014","Crude Rate (per 100,000)","Deaths",9.86
"Berlin","0900304300","2010-2014","Number","Deaths",10
"Bethany","0900904580","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Bethany","0900904580","2006-2010","Crude Rate (per 100,000)","Deaths",7.32
"Bethany","0900904580","2006-2010","Number","Deaths",2
"Bethany","0900904580","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Bethany","0900904580","2007-2011","Crude Rate (per 100,000)","Deaths",3.63
"Bethany","0900904580","2007-2011","Number","Deaths",1
"Bethany","0900904580","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Bethany","0900904580","2008-2012","Crude Rate (per 100,000)","Deaths",7.19
"Bethany","0900904580","2008-2012","Number","Deaths",2
"Bethany","0900904580","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Bethany","0900904580","2010-2014","Crude Rate (per 100,000)","Deaths",7.21
"Bethany","0900904580","2010-2014","Number","Deaths",2
"Bethel","0900104720","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Bethel","0900104720","2006-2010","Crude Rate (per 100,000)","Deaths",8.71
"Bethel","0900104720","2006-2010","Number","Deaths",8
"Bethel","0900104720","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Bethel","0900104720","2007-2011","Crude Rate (per 100,000)","Deaths",7.57
"Bethel","0900104720","2007-2011","Number","Deaths",7
"Bethel","0900104720","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Bethel","0900104720","2008-2012","Crude Rate (per 100,000)","Deaths",5.37
"Bethel","0900104720","2008-2012","Number","Deaths",5
"Bethel","0900104720","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Bethel","0900104720","2010-2014","Crude Rate (per 100,000)","Deaths",8.4
"Bethel","0900104720","2010-2014","Number","Deaths",8
"Bethlehem","0900504930","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Bethlehem","0900504930","2006-2010","Crude Rate (per 100,000)","Deaths",16.69
"Bethlehem","0900504930","2006-2010","Number","Deaths",3
"Bethlehem","0900504930","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Bethlehem","0900504930","2007-2011","Crude Rate (per 100,000)","Deaths",16.69
"Bethlehem","0900504930","2007-2011","Number","Deaths",3
"Bethlehem","0900504930","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Bethlehem","0900504930","2008-2012","Crude Rate (per 100,000)","Deaths",22.2
"Bethlehem","0900504930","2008-2012","Number","Deaths",4
"Bethlehem","0900504930","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Bethlehem","0900504930","2010-2014","Crude Rate (per 100,000)","Deaths",11.24
"Bethlehem","0900504930","2010-2014","Number","Deaths",2
"Bloomfield","0900305910","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Bloomfield","0900305910","2006-2010","Crude Rate (per 100,000)","Deaths",3.93
"Bloomfield","0900305910","2006-2010","Number","Deaths",4
"Bloomfield","0900305910","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Bloomfield","0900305910","2007-2011","Crude Rate (per 100,000)","Deaths",6.86
"Bloomfield","0900305910","2007-2011","Number","Deaths",7
"Bloomfield","0900305910","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Bloomfield","0900305910","2008-2012","Crude Rate (per 100,000)","Deaths",7.81
"Bloomfield","0900305910","2008-2012","Number","Deaths",8
"Bloomfield","0900305910","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Bloomfield","0900305910","2010-2014","Crude Rate (per 100,000)","Deaths",5.82
"Bloomfield","0900305910","2010-2014","Number","Deaths",6
"Bolton","0901306260","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Bolton","0901306260","2006-2010","Crude Rate (per 100,000)","Deaths",11.95
"Bolton","0901306260","2006-2010","Number","Deaths",3
"Bolton","0901306260","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Bolton","0901306260","2007-2011","Crude Rate (per 100,000)","Deaths",11.99
"Bolton","0901306260","2007-2011","Number","Deaths",3
"Bolton","0901306260","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Bolton","0901306260","2008-2012","Crude Rate (per 100,000)","Deaths",8.03
"Bolton","0901306260","2008-2012","Number","Deaths",2
"Bolton","0901306260","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Bolton","0901306260","2010-2014","Crude Rate (per 100,000)","Deaths",8.06
"Bolton","0901306260","2010-2014","Number","Deaths",2
"Bozrah","0901106820","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Bozrah","0901106820","2006-2010","Crude Rate (per 100,000)","Deaths",30.89
"Bozrah","0901106820","2006-2010","Number","Deaths",4
"Bozrah","0901106820","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Bozrah","0901106820","2007-2011","Crude Rate (per 100,000)","Deaths",30.73
"Bozrah","0901106820","2007-2011","Number","Deaths",4
"Bozrah","0901106820","2008-2012","AAMR (per 100,000)","Deaths",-6666
"Bozrah","0901106820","2008-2012","Crude Rate (per 100,000)","Deaths",30.46
"Bozrah","0901106820","2008-2012","Number","Deaths",4
"Bozrah","0901106820","2010-2014","AAMR (per 100,000)","Deaths",-6666
"Bozrah","0901106820","2010-2014","Crude Rate (per 100,000)","Deaths",15.22
"Bozrah","0901106820","2010-2014","Number","Deaths",2
"Branford","0900907310","2006-2010","AAMR (per 100,000)","Deaths",-6666
"Branford","0900907310","2006-2010","Crude Rate (per 100,000)","Deaths",6.38
"Branford","0900907310","2006-2010","Number","Deaths",9
"Branford","0900907310","2007-2011","AAMR (per 100,000)","Deaths",-6666
"Branford","0900907310","2007-2011","Crude Rate (per 100,000)","Deaths",8.54
